,uid,id,metric,title,description
0,f1_unique_identifier,https://w3id.org/FAIR_Tests/tests/gen2_unique_identifier,F1,Unique Identifier,Metric to test if the metadata resource has a unique identifier.  This is done by comparing the GUID to the patterns (by regexp) of known GUID schemas such as URLs and DOIs.  Known schema are registered in FAIRSharing (https://fairsharing.org/standards/?q=&selected_facets=type_exact:identifier%20schema)
1,f1_metadata_identifier_persistence,https://w3id.org/FAIR_Tests/tests/gen2_metadata_identifier_persistence,F1,Identifier Persistence,"Metric to test if the unique identifier of the metadata resource is likely to be persistent. Known schema are registered in FAIRSharing (https://fairsharing.org/standards/?q=&selected_facets=type_exact:identifier%20schema). For URLs that don't follow a schema in FAIRSharing we test known URL persistence schemas (purl, oclc, fdlp, purlz, w3id, ark).  "
2,f1_data_identifier_persistence,https://w3id.org/FAIR_Tests/tests/gen2_data_identifier_persistence,F1,Data Identifier Persistence,"Metric to test if the unique identifier of the data resource is likely to be persistent. Known schema are registered in FAIRSharing (https://fairsharing.org/standards/?q=&selected_facets=type_exact:identifier%20schema). For URLs that don't follow a schema in FAIRSharing we test known URL persistence schemas (purl, oclc, fdlp, purlz, w3id, ark).  "
3,f2_structured_metadata,https://w3id.org/FAIR_Tests/tests/gen2_structured_metadata,F2,Structured Metadata,"Tests whether a machine is able to find structured metadata.  This could be (for example) RDFa, embedded json, json-ld, or content-negotiated structured metadata such as RDF Turtle"
4,f2_grounded_metadata,https://w3id.org/FAIR_Tests/tests/gen2_grounded_metadata,F2,Grounded Metadata,"Tests whether a machine is able to find 'grounded' metadata.  i.e. metadata terms that are in a resolvable namespace, where resolution leads to a definition of the meaning of the term. Examples include JSON-LD, embedded schema, or any form of RDF. This test currently excludes XML, even when terms are namespaced.  Future versions of this test may be more flexible."
5,a1.2_data_authorization,https://w3id.org/FAIR_Tests/tests/gen2_data_authorization,A1.2,Data authentication and authorization,"Test a discovered data GUID for the ability to implement authentication and authorization in its resolution protocol.  Currently passes InChI Keys, DOIs, Handles, and URLs.  It also searches the metadata for the Dublin Core 'accessRights' property, which may point to a document describing the data access process. Recognition of other identifiers will be added upon request by the community."
6,f3_data_identifier_in_metadata,https://w3id.org/FAIR_Tests/tests/gen2_data_identifier_in_metadata,F3,Data Identifier Explicitly In Metadata,"Metric to test if the metadata contains the unique identifier to the data. This is done by searching for a variety of properties, including foaf:primaryTopic, schema:mainEntity, schema:distribution, sio:is-about, and iao:is-about. schema codeRepository is used for software releases."
7,i1_data_kr_language_strong,https://w3id.org/FAIR_Tests/tests/gen2_data_kr_language_strong,I1,Data Knowledge Representation Language (strong),"Maturity Indicator to test if the data uses a formal language broadly applicable for knowledge representation.  This particular test takes a broad view of what defines a 'knowledge representation language'; in this evaluation, a knowledge representation language is interpreted as one in which terms are semantically-grounded in ontologies.  Any form of ontologically-grounded linked data will pass this test. "
8,i1_data_kr_language_weak,https://w3id.org/FAIR_Tests/tests/gen2_data_kr_language_weak,I1,Data Knowledge Representation Language (weak),"Maturity Indicator to test if the data uses a formal language broadly applicable for knowledge representation.  This particular test takes a broad view of what defines a 'knowledge representation language'; in this evaluation, a knowledge representation language is interpreted as one in which terms are semantically-grounded in ontologies.  Any form of structured data will pass this test"
9,a1.1_data_protocol,https://w3id.org/FAIR_Tests/tests/gen2_data_protocol,A1.1,Uses open free protocol for data retrieval,"Data may be retrieved by an open and free protocol.  Tests data GUID for its resolution protocol.  Currently passes InChI Keys, DOIs, Handles, and URLs.  Recognition of other identifiers will be added upon request by the community."
