,paper,doi,url,paper_title,research_field_label
0,http://orkg.org/orkg/resource/R140519,10.1021/nn400026u,https://pubs.acs.org/doi/abs/10.1021/nn400026u,Sensing Behavior of Atomically Thin-Layered MoS2 Transistors,Analytical Chemistry
1,http://orkg.org/orkg/resource/R140522,10.1088/2053-1583/aa57fe,https://iopscience.iop.org/article/10.1088/2053-1583/aa57fe,"Highly sensitive MoTe
                    2
                    chemical sensor with fast recovery rate through gate biasing",Analytical Chemistry
2,http://orkg.org/orkg/resource/R140548,10.22606/gr.2017.23005,https://dx.doi.org/10.22606/gr.2017.23005,"ASTER Data Analyses for Lithological Discrimination of Sittampundi Anorthositic Complex, Southern India",Earth Sciences
3,http://orkg.org/orkg/resource/R140552,10.1007/s12594-016-0509-3,https://doi.org/10.1007/s12594-016-0509-3,Digital image processing of multispectral ASTER imagery for delineation of alteration and related clay minerals in Sakoli belt: Maharashtra – A case study,Earth Sciences
4,http://orkg.org/orkg/resource/R140556,10.18520/CS/V106/I1/40-49,https://www.currentscience.ac.in/Volumes/106/01/0040.pdf,"An image processing approach for converging ASTER-derived spectral maps for mapping Kolhan limestone, Jharkhand, India",Earth Sciences
5,http://orkg.org/orkg/resource/R140559,10.1016/j.jseaes.2011.01.004,https://doi.org/10.1016/j.jseaes.2011.01.004,Discrimination of iron ore deposits of granulite terrain of Southern Peninsular India using ASTER data,Earth Sciences
6,http://orkg.org/orkg/resource/R140563,10.1016/j.rsase.2020.100306,https://doi.org/10.1016/j.rsase.2020.100306,"Mapping of ferric (Fe3+) and ferrous (Fe2+) iron oxides distribution using band ratio techniques with ASTER data and geochemistry of Kanjamalai and Godumalai, Tamil Nadu, south India",Earth Sciences
7,http://orkg.org/orkg/resource/R140690,10.1016/j.rse.2007.03.015,https://doi.org/10.1016/j.rse.2007.03.015,"Integrating visible, near-infrared and short-wave infrared hyperspectral and multispectral thermal imagery for geological mapping at Cuprite, Nevada",Earth Sciences
8,http://orkg.org/orkg/resource/R140694,10.1109/TGRS.2003.812908,http://dx.doi.org/10.1109/TGRS.2003.812908,Comparison of airborne hyperspectral data and eo-1 hyperion for mineral mapping,Earth Sciences
9,http://orkg.org/orkg/resource/R140698,10.2113/gsecongeo.98.5.1019,https://doi.org/10.2113/gsecongeo.98.5.1019,"Mapping Hydrothermally Altered Rocks at Cuprite, Nevada, Using the Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER), a New Satellite-Imaging System",Earth Sciences
