,resource_url,research_field,fair_score,fair_score_max,fair_score_pct,findability_pct,accessibility_pct,interoperability_pct,reusability_pct,f1_unique_identifier,f1_metadata_identifier_persistence,a1.2_metadata_authorization,f2_structured_metadata,f3_data_identifier_in_metadata,f2_grounded_metadata,a1.2_data_authorization,i1_data_kr_language_strong,i1_data_kr_language_weak,f1_data_identifier_persistence,a1.1_data_protocol,i3_metadata_contains_outward_links,f3_metadata_identifier_in_metadata,r1.1_metadata_includes_license_strong,a2_metadata_persistence,i1_metadata_kr_language_weak,i1_metadata_kr_language_strong,r1.1_metadata_includes_license_weak,f4_searchable,a1.1_metadata_protocol,i2_metadata_uses_fair_vocabularies_weak,i2_metadata_uses_fair_vocabularies_strong
0,http://orkg.org/orkg/resource/R140519,Analytical Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,http://orkg.org/orkg/resource/R140522,Analytical Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2,http://orkg.org/orkg/resource/R140548,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3,http://orkg.org/orkg/resource/R140552,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
4,http://orkg.org/orkg/resource/R140556,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5,http://orkg.org/orkg/resource/R140559,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
6,http://orkg.org/orkg/resource/R140563,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
7,http://orkg.org/orkg/resource/R140690,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
8,http://orkg.org/orkg/resource/R140694,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,http://orkg.org/orkg/resource/R140698,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,http://orkg.org/orkg/resource/R140702,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2,http://orkg.org/orkg/resource/R140706,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
3,http://orkg.org/orkg/resource/R140710,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
4,http://orkg.org/orkg/resource/R140723,Medicinal Chemistry and Pharmaceutics,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
5,http://orkg.org/orkg/resource/R140731,Analytical Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
6,http://orkg.org/orkg/resource/R140748,Analytical Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
7,http://orkg.org/orkg/resource/R140808,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
8,http://orkg.org/orkg/resource/R140812,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,http://orkg.org/orkg/resource/R140739,Analytical Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1,http://orkg.org/orkg/resource/R140815,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2,http://orkg.org/orkg/resource/R140819,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
3,http://orkg.org/orkg/resource/R140823,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
4,http://orkg.org/orkg/resource/R140827,Earth Sciences,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
5,http://orkg.org/orkg/resource/R140830,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
